Dataset Index,Dataset,Dataset Version,Model,Feature Engineering Description,Hyperparameter Description,f1_macro,Train-Test Gap,# Columns,Model Complexity,Fit Time,Best Hyperparameters
0,breast-w,1,kNN,,,0.960609243697479,0.010147353607790843,9,0,0.22,{'n_neighbors': 8}
0,breast-w,1,ikNN,,,0.9542586161831148,0.014523034099875876,9,0,356.46,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 16, 'weight_by_score': False}"
1,credit-approval,1,kNN,,,0.6181781701444623,0.19696284058612878,60,0,0.19,{'n_neighbors': 4}
1,credit-approval,1,ikNN,,,0.8497059609730018,0.027464791705438363,60,0,859.82,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 16, 'weight_by_score': False}"
2,credit-g,1,kNN,,,0.5141979564972106,0.15053919970237228,74,0,0.18,{'n_neighbors': 8}
2,credit-g,1,ikNN,,,0.5513420724094882,0.22246499224657468,74,0,1295.1,"{'method': 'simple majority', 'n_neighbors': 4, 'num_best_spaces': 16, 'weight_by_score': True}"
3,diabetes,1,kNN,,,0.671875,0.06741574778013693,8,0,0.14,{'n_neighbors': 8}
3,diabetes,1,ikNN,,,0.7022332506203475,0.0530872540311117,8,0,294.83,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': True}"
4,sick,1,kNN,,,0.5280086647575755,0.12848081176697934,76,0,1.14,{'n_neighbors': 2}
4,sick,1,ikNN,,,0.8094891181242156,0.02703040087469688,76,0,4099.33,"{'method': 'simple majority', 'n_neighbors': 4, 'num_best_spaces': 2, 'weight_by_score': True}"
5,yeast,1,kNN,,,0.5467468891000836,0.09886961552082185,8,0,0.28,{'n_neighbors': 4}
5,yeast,1,ikNN,,,0.3356733903071611,0.28667707258542013,8,0,528.07,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 4, 'weight_by_score': False}"
6,baseball,1,kNN,,,0.6740471135375593,0.06032249817687463,23,0,0.33,{'n_neighbors': 4}
6,baseball,1,ikNN,,,0.5550104726575316,0.14126195499384986,23,0,689.2,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
7,oil_spill,1,kNN,,,0.49023861171366595,-0.0019004192938408826,49,0,0.3,{'n_neighbors': 8}
7,oil_spill,1,ikNN,,,0.674192909487027,0.03128223211146264,49,0,810.96,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 2, 'weight_by_score': True}"
8,irish,1,kNN,,,0.6576682316118936,0.08017371367686021,21,0,0.24,{'n_neighbors': 16}
8,irish,1,ikNN,,,0.9759753988083798,0.013006207820285609,21,0,394.74,"{'method': 'simple majority', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
9,profb,1,kNN,,,0.44872128756706076,0.12120380961697264,14,0,0.2,{'n_neighbors': 16}
9,profb,1,ikNN,,,0.5683023872679045,0.06070018910309294,14,0,403.54,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 4, 'weight_by_score': False}"
10,rmftsa_sleepdata,1,kNN,,,0.7270275355955592,0.004843847841359716,2,0,0.22,{'n_neighbors': 8}
10,rmftsa_sleepdata,1,ikNN,,,0.7270275355955592,0.004843847841359716,2,0,14.31,"{'method': 'simple majority', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
11,fri_c3_1000_25,2,kNN,,,0.6619309170436902,0.04702748530357215,25,0,0.58,{'n_neighbors': 16}
11,fri_c3_1000_25,2,ikNN,,,0.8638605932474854,0.035054612091248716,25,0,644.58,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': True}"
12,rmftsa_ladata,2,kNN,,,0.8132949824224993,0.028175570551117857,10,0,0.16,{'n_neighbors': 16}
12,rmftsa_ladata,2,ikNN,,,0.8142920719689746,0.08689325548562055,10,0,368.84,"{'method': 'simple majority', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': True}"
13,fri_c4_1000_25,2,kNN,,,0.6332042919517067,0.06523872906556405,25,0,0.62,{'n_neighbors': 16}
13,fri_c4_1000_25,2,ikNN,,,0.8807938308752199,0.042557414061928034,25,0,643.79,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 16, 'weight_by_score': False}"
14,analcatdata_supreme,2,kNN,,,0.990260324454401,-0.0015980880340870085,7,0,0.7,{'n_neighbors': 8}
14,analcatdata_supreme,2,ikNN,,,0.9916391548365797,-0.001602198379631048,7,0,1057.05,"{'method': 'simple majority', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
15,space_ga,2,kNN,,,0.605457266556203,0.09646480489350462,6,0,0.48,{'n_neighbors': 8}
15,space_ga,2,ikNN,,,0.8077272478156674,0.058530235506790707,6,0,477.41,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 4, 'weight_by_score': True}"
16,fri_c3_1000_10,2,kNN,,,0.7712567806025751,0.07117169866026907,10,0,0.23,{'n_neighbors': 8}
16,fri_c3_1000_10,2,ikNN,,,0.8703739710933955,0.03968984209023474,10,0,562.9,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 4, 'weight_by_score': False}"
17,fri_c1_1000_5,2,kNN,,,0.8499813490325823,0.06318387216899723,5,0,0.25,{'n_neighbors': 16}
17,fri_c1_1000_5,2,ikNN,,,0.8807938308752199,0.06029821547998426,5,0,140.93,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 16, 'weight_by_score': False}"
18,fri_c3_500_5,2,kNN,,,0.8713329902213072,0.06914320025488319,5,0,0.16,{'n_neighbors': 4}
18,fri_c3_500_5,2,ikNN,,,0.8397435897435896,0.10332362347783008,5,0,92.8,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 4, 'weight_by_score': False}"
19,pm10,2,kNN,,,0.5742561532035216,0.09845316975189522,7,0,0.17,{'n_neighbors': 8}
19,pm10,2,ikNN,,,0.6075981805368698,0.22927113663196597,7,0,187.15,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 16, 'weight_by_score': False}"
20,fri_c4_1000_10,2,kNN,,,0.7358166567597912,0.08491675204771065,10,0,0.27,{'n_neighbors': 8}
20,fri_c4_1000_10,2,ikNN,,,0.8898408812729498,-0.0033655439360104067,10,0,579.25,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
21,meta,2,kNN,,,0.6119929453262787,-0.018437628462691036,19,0,0.47,{'n_neighbors': 4}
21,meta,2,ikNN,,,0.6461988304093568,0.005408062930186697,19,0,400.76,"{'method': 'simple majority', 'n_neighbors': 2, 'num_best_spaces': 16, 'weight_by_score': False}"
22,fri_c1_500_50,2,kNN,,,0.573550070238812,0.0685551162307606,50,0,0.6,{'n_neighbors': 16}
22,fri_c1_500_50,2,ikNN,,,0.8559170081967213,0.04765442037470713,50,0,652.43,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': True}"
23,strikes,2,kNN,,,0.6293552588733311,0.2183505660534505,6,0,0.19,{'n_neighbors': 4}
23,strikes,2,ikNN,,,0.9936046274797345,0.006395372520265452,6,0,154.32,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 2, 'weight_by_score': True}"
24,quake,3,kNN,,,0.4726843657817109,0.24805141013725895,3,0,0.39,{'n_neighbors': 4}
24,quake,3,ikNN,,,0.4944042750574166,0.2141858670167287,3,0,84.36,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 4, 'weight_by_score': False}"
25,disclosure_x_bias,2,kNN,,,0.5405011655011656,0.07888232457197963,3,0,0.26,{'n_neighbors': 16}
25,disclosure_x_bias,2,ikNN,,,0.5146198830409356,0.3140084526296536,3,0,34.75,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 4, 'weight_by_score': False}"
26,fri_c1_500_25,2,kNN,,,0.6772805507745268,0.012288985649314244,25,0,0.64,{'n_neighbors': 8}
26,fri_c1_500_25,2,ikNN,,,0.8847471022128557,0.024477138830602763,25,0,438.44,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 4, 'weight_by_score': True}"
27,fri_c2_500_5,2,kNN,,,0.8101182220461001,0.12129258151444122,5,0,0.17,{'n_neighbors': 4}
27,fri_c2_500_5,2,ikNN,,,0.8604269293924466,0.09979311061482743,5,0,93.28,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 8, 'weight_by_score': False}"
28,disclosure_x_tampered,2,kNN,,,0.45227748269756957,0.29605413064952363,3,0,0.18,{'n_neighbors': 2}
28,disclosure_x_tampered,2,ikNN,,,0.45940482874789446,0.14441598811640066,3,0,35.93,"{'method': 'simple majority', 'n_neighbors': 16, 'num_best_spaces': 2, 'weight_by_score': True}"
29,fri_c4_1000_50,2,kNN,,,0.6579435043904467,0.020665955066527353,50,0,0.64,{'n_neighbors': 16}
29,fri_c4_1000_50,2,ikNN,,,0.8612862547288777,0.04605998030552516,50,0,962.03,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': True}"
30,fri_c0_1000_5,2,kNN,,,0.8598183245486151,0.04947372658932503,5,0,0.24,{'n_neighbors': 8}
30,fri_c0_1000_5,2,ikNN,,,0.9039938556067588,0.03332599452989282,5,0,139.59,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 16, 'weight_by_score': False}"
31,pbcseq,2,kNN,,,0.7149162724914864,0.18591208427984873,27,0,0.74,{'n_neighbors': 2}
31,pbcseq,2,ikNN,,,0.7986244725738396,0.14287766640023636,27,0,1194.94,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 4, 'weight_by_score': False}"
32,fri_c4_500_50,2,kNN,,,0.9152260212575234,0.006539706931562472,10,0,0.32,{'n_neighbors': 16}
32,fri_c4_500_50,2,ikNN,,,0.9167132632520688,-0.02843557669852015,10,0,645.7,"{'method': 'simple majority', 'n_neighbors': 4, 'num_best_spaces': 16, 'weight_by_score': False}"
33,fri_c3_1000_50,2,kNN,,,0.6155273903590179,0.040143905937278346,50,0,0.6,{'n_neighbors': 16}
33,fri_c3_1000_50,2,ikNN,,,0.8653610771113832,0.06938417560575194,50,0,958.26,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 16, 'weight_by_score': False}"
34,fri_c3_1000_5,2,kNN,,,0.8932676518883416,0.01846494223187234,5,0,0.25,{'n_neighbors': 8}
34,fri_c3_1000_5,2,ikNN,,,0.8765147523709167,0.014644474424230447,5,0,140.83,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 4, 'weight_by_score': True}"
35,fri_c1_500_10,2,kNN,,,0.6926706093428134,0.13989874415165016,10,0,0.18,{'n_neighbors': 4}
35,fri_c1_500_10,2,ikNN,,,0.9021909233176839,0.006596920784645466,10,0,383.59,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 4, 'weight_by_score': False}"
36,boston_corrected,2,kNN,,,0.779513888888889,0.07457096519596518,19,0,0.58,{'n_neighbors': 8}
36,boston_corrected,2,ikNN,,,0.8342757720748151,0.09953815249750764,19,0,398.15,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 16, 'weight_by_score': True}"
37,disclosure_x_noise,2,kNN,,,0.4779874213836478,0.27222671644794305,3,0,0.19,{'n_neighbors': 2}
37,disclosure_x_noise,2,ikNN,,,0.5226933575978161,0.2196653818447083,3,0,36.55,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 2, 'weight_by_score': True}"
38,fri_c1_1000_50,2,kNN,,,0.6299698872046139,0.03464501178528512,50,0,0.67,{'n_neighbors': 16}
38,fri_c1_1000_50,2,ikNN,,,0.8735210118319052,0.037361093294804304,50,0,954.33,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 2, 'weight_by_score': False}"
39,fri_c4_500_25,2,kNN,,,0.7131382673551347,-0.020560913961579108,25,0,0.62,{'n_neighbors': 16}
39,fri_c4_500_25,2,ikNN,,,0.9256984347136914,0.006001028353020854,25,0,441.27,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 16, 'weight_by_score': False}"
40,kdd_el_nino-small,2,kNN,,,0.9181286549707602,0.04941284674795665,8,0,0.24,{'n_neighbors': 2}
40,kdd_el_nino-small,2,ikNN,,,0.9324448529411764,0.046991578963936353,8,0,312.59,"{'method': 'use proba', 'n_neighbors': 2, 'num_best_spaces': 8, 'weight_by_score': False}"
41,stock,2,kNN,,,0.9747453310696095,0.008387427387701263,9,0,0.26,{'n_neighbors': 2}
41,stock,2,ikNN,,,0.9663770572861482,0.00831328649544949,9,0,452.3,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 8, 'weight_by_score': True}"
42,fri_c0_1000_10,2,kNN,,,0.866873214890836,-0.025926983084003097,10,0,0.32,{'n_neighbors': 16}
42,fri_c0_1000_10,2,ikNN,,,0.8713329902213072,0.04866188945099181,10,0,597.49,"{'method': 'use proba', 'n_neighbors': 16, 'num_best_spaces': 16, 'weight_by_score': False}"
43,fri_c0_1000_25,2,kNN,,,0.7222403764459839,0.04843504478705818,25,0,0.67,{'n_neighbors': 16}
43,fri_c0_1000_25,2,ikNN,,,0.8309178743961352,0.11441458425653661,25,0,659.13,"{'method': 'use proba', 'n_neighbors': 8, 'num_best_spaces': 16, 'weight_by_score': False}"
44,boston,2,kNN,,,0.7658465255260982,0.09330771274844141,13,0,0.19,{'n_neighbors': 4}
44,boston,2,ikNN,,,0.8807031669350509,0.03510177054031538,13,0,342.7,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 16, 'weight_by_score': False}"
45,fri_c4_500_10,2,kNN,,,0.7036965853033506,0.1034815306982948,10,0,0.17,{'n_neighbors': 16}
45,fri_c4_500_10,2,ikNN,,,0.8237179487179487,0.14617805566081432,10,0,368.52,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 16, 'weight_by_score': False}"
46,fri_c2_1000_50,2,kNN,,,0.6311701238912886,0.07293393819146898,50,0,0.71,{'n_neighbors': 16}
46,fri_c2_1000_50,2,ikNN,,,0.8528793610760824,0.08074112511697862,50,0,956.65,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 2, 'weight_by_score': True}"
47,fri_c2_500_10,2,kNN,,,0.7575088634691284,-0.0075088634691283795,10,0,0.18,{'n_neighbors': 16}
47,fri_c2_500_10,2,ikNN,,,0.8761640578561523,0.06285852965567373,10,0,376.75,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 2, 'weight_by_score': True}"
48,fri_c1_500_5,2,kNN,,,0.8234463276836158,0.06397003876002805,5,0,0.17,{'n_neighbors': 16}
48,fri_c1_500_5,2,ikNN,,,0.8701298701298701,0.0922799133504828,5,0,91.55,"{'method': 'use proba', 'n_neighbors': 4, 'num_best_spaces': 8, 'weight_by_score': False}"
49,pollen,2,kNN,,,0.4703122563819081,0.1026887531162346,5,0,0.69,{'n_neighbors': 16}
